frequency_hz,global_iteration,band_iteration,physical_loss,normalized_loss,data_loss,curvature,regularization_fraction,max_velocity_update,projected,relative_improvement,closure_evaluations,line_search_evaluations,step_fraction,accepted,gradient_norm,gradient_max
20000.0,0,0,0.05397593602538109,74.59968403505889,0.05397593230009079,4.07331635088326e-09,7.546541525016437e-08,0.050000011920928955,0.0,0.2532922990088909,1.0,1.0,1.0,1.0,0.12816312909126282,0.040995821356773376
20000.0,1,1,0.03814704343676567,52.72270565009241,0.03814703971147537,4.8344741543360215e-09,1.2673260130213748e-07,0.04999998211860657,0.0,0.2900166402041198,2.0,1.0,1.0,1.0,0.10941042751073837,0.03457384929060936
35000.0,2,0,0.02482658065855503,67.03278537318258,0.024826575070619583,5.686964232864966e-09,2.2906755248186528e-07,0.050000011920928955,0.0,0.3301837771296378,3.0,1.0,1.0,1.0,0.0927596241235733,0.030579516664147377
35000.0,3,1,0.017463045194745064,47.15093780335616,0.017463039606809616,6.510564976025535e-09,3.72819556559989e-07,0.050000011920928955,0.0,0.2952588168747287,4.0,1.0,1.0,1.0,0.07912150025367737,0.03095165826380253
50000.0,4,0,0.017684120684862137,94.57274720966223,0.01768411323428154,7.0694068377008534e-09,3.997601538685558e-07,0.050000011920928955,0.0,0.052579257170901145,5.0,1.0,1.0,1.0,0.09449861198663712,0.04506362974643707
50000.0,5,1,0.015180532820522785,81.18383257654601,0.015180525369942188,7.386829814493012e-09,4.865988785240916e-07,0.050000011920928955,0.0,0.1411525498959581,6.0,1.0,1.0,1.0,0.15621818602085114,0.07180590182542801
65000.0,6,0,0.011206382885575294,55.21839529865698,0.011206375434994698,7.418990310981144e-09,6.620325621042866e-07,0.02499997615814209,0.0,0.447760851532619,7.0,2.0,0.5,1.0,0.37598124146461487,0.1779927909374237
65000.0,7,1,0.010691378265619278,52.68075858074949,0.010691370815038681,7.553365044543625e-09,7.064912210807961e-07,0.012499988079071045,0.0,0.047970753897216355,8.0,3.0,0.25,1.0,0.06461987644433975,0.0346297062933445
