z_m,ux_rms_m_s,uy_rms_m_s,uz_rms_m_s,centerline_duz_m_s
1.0052083333333333,0.0055454466,0.011083631,0.10703127,-0.5063291
1.015625,0.0060810563,0.012923716,0.10681699,-0.51030606
1.0260416666666667,0.0067652357,0.014901577,0.10670313,-0.51506555
1.0364583333333335,0.007611305,0.016655572,0.106698506,-0.52067643
1.046875,0.0086035,0.017948972,0.10679418,-0.5271318
1.0572916666666667,0.009702112,0.018644406,0.10696333,-0.5343648
1.0677083333333335,0.01085098,0.018845823,0.10716728,-0.54222107
1.078125,0.011999778,0.018753288,0.1073663,-0.55052537
1.0885416666666667,0.013094345,0.018548917,0.10752619,-0.5590816
1.0989583333333335,0.014085288,0.018366864,0.10761994,-0.567703
1.109375,0.014922654,0.01828592,0.10762337,-0.5762404
1.1197916666666667,0.015580511,0.018336896,0.107512325,-0.5845902
1.1302083333333335,0.016084606,0.018528085,0.10726199,-0.5927038
1.140625,0.016518945,0.018827012,0.106846996,-0.60046595
1.1510416666666667,0.016984368,0.019172866,0.10623782,-0.60772395
1.1614583333333335,0.0176192,0.019495819,0.10540303,-0.6142556
1.171875,0.01853382,0.019786265,0.10431438,-0.6198464
1.1822916666666667,0.019717831,0.020125996,0.10295668,-0.62417483
1.1927083333333335,0.021082545,0.02062996,0.10133317,-0.6268854
1.203125,0.022454618,0.021361105,0.099464715,-0.6276171
1.2135416666666667,0.023716718,0.02229521,0.097382315,-0.626066
1.2239583333333335,0.024796365,0.023355436,0.095120214,-0.6221452
1.234375,0.025665496,0.024457516,0.092711575,-0.6159575
1.2447916666666667,0.026290715,0.025522893,0.09018836,-0.6076426
1.2552083333333335,0.026674934,0.026495162,0.08758251,-0.59737813
1.265625,0.02683499,0.027342003,0.08492358,-0.58536714
1.2760416666666667,0.026786031,0.028034823,0.082238995,-0.5717977
1.2864583333333335,0.026555229,0.02856098,0.07955395,-0.5568454
1.296875,0.026151743,0.02893237,0.07689197,-0.5406799
1.3072916666666667,0.025604257,0.02915881,0.0742722,-0.52345175
1.3177083333333335,0.02492904,0.029262185,0.07171069,-0.5052828
1.328125,0.024154875,0.029272689,0.069219664,-0.4863034
1.3385416666666667,0.023292417,0.029210284,0.06680726,-0.46662772
1.3489583333333335,0.02236716,0.029088082,0.06448035,-0.4463653
1.359375,0.021391813,0.028916594,0.062243782,-0.42567325
1.3697916666666667,0.02038973,0.028706921,0.06010116,-0.40475506
1.3802083333333335,0.019374505,0.028470092,0.05805537,-0.38399264
1.390625,0.018368363,0.02821279,0.0561092,-0.3639322
1.4010416666666667,0.017390497,0.027941206,0.054265566,-0.34513104
1.4114583333333335,0.016464045,0.027660314,0.052528266,-0.32805198
1.421875,0.015618416,0.027371908,0.050901048,-0.31301555
1.4322916666666667,0.014882898,0.02708118,0.04938874,-0.30016586
1.4427083333333335,0.014292753,0.026787223,0.047996864,-0.28941178
1.453125,0.013880229,0.026489008,0.046731774,-0.280573
1.4635416666666667,0.013675181,0.026195483,0.045601916,-0.27355364
1.4739583333333335,0.013702483,0.025914803,0.044616506,-0.2682413
1.484375,0.013971076,0.025646798,0.043785464,-0.2644054
1.4947916666666667,0.014475223,0.025399778,0.04311841,-0.26178178
1.5052083333333335,0.015198663,0.02518676,0.04262419,-0.2602205
1.515625,0.016112568,0.025022868,0.042309962,-0.25944954
1.5260416666666667,0.017181259,0.024929013,0.04218096,-0.25911677
1.5364583333333335,0.018373473,0.02493119,0.042238627,-0.25888833
1.546875,0.019645741,0.02505441,0.042480923,-0.25849968
1.5572916666666667,0.020972798,0.025338994,0.042901985,-0.25779223
1.5677083333333335,0.022310408,0.025797948,0.04349353,-0.2565768
1.578125,0.023636863,0.02644593,0.044245057,-0.25482175
1.5885416666666667,0.024917563,0.027273815,0.045145597,-0.25255033
1.5989583333333335,0.026122857,0.02826661,0.046183627,-0.2498392
1.609375,0.027221575,0.029382866,0.047345225,-0.24684055
1.6197916666666667,0.028182888,0.030592598,0.048614357,-0.24373467
1.6302083333333335,0.028998185,0.031842276,0.049972292,-0.2406716
1.640625,0.029655289,0.033099607,0.05139837,-0.23775095
1.6510416666666667,0.030161617,0.03432839,0.052872162,-0.23506066
1.6614583333333335,0.030523775,0.035530705,0.0543748,-0.23264186
1.6718750000000002,0.030739872,0.036724653,0.055891216,-0.23049606
1.6822916666666667,0.030803878,0.0379517,0.057412516,-0.22862285
1.6927083333333335,0.030704299,0.03926655,0.058936283,-0.22700824
1.7031250000000002,0.030408317,0.04070048,0.060468297,-0.22562382
1.7135416666666667,0.029876646,0.042205777,0.062018286,-0.2244433
1.7239583333333335,0.029118644,0.04361659,0.06359383,-0.22344415
1.7343750000000002,0.028146455,0.044641174,0.06518761,-0.22260189
1.7447916666666667,0.026947565,0.044726796,0.06673949,-0.22189848
1.7552083333333335,0.025515879,0.044075705,0.06814961,-0.22131763
1.7656250000000002,0.023932476,0.042545587,0.069302045,-0.22085124
1.7760416666666667,0.022441009,0.040102594,0.07005507,-0.22048455
1.7864583333333335,0.021379815,0.037032533,0.07027866,-0.22022106
1.7968750000000002,0.020985981,0.03366727,0.06988921,-0.22005653
1.8072916666666667,0.021265412,0.030361276,0.068856984,-0.21998455
1.8177083333333335,0.022000924,0.027444767,0.067205794,-0.22000472
1.8281250000000002,0.02288854,0.025156705,0.065005586,-0.22009224
1.8385416666666667,0.023658168,0.02357918,0.062357694,-0.22021407
1.8489583333333335,0.024122665,0.022622446,0.059382178,-0.2203276
1.8593750000000002,0.024213165,0.022072924,0.05620649,-0.22037672
1.8697916666666667,0.023941286,0.021696618,0.05295059,-0.22027922
1.8802083333333335,0.023327492,0.02126083,0.049724218,-0.21996504
1.8906250000000002,0.022478918,0.020607326,0.046620786,-0.21936126
1.9010416666666667,0.021462977,0.019781308,0.04370586,-0.21840763
1.9114583333333335,0.020335961,0.018836083,0.041015,-0.21705623
1.9218750000000002,0.019149572,0.017815128,0.03856258,-0.21528822
1.9322916666666667,0.017947638,0.016757034,0.036348667,-0.21310394
1.9427083333333335,0.016764384,0.015696228,0.034364063,-0.21053377
1.9531250000000002,0.01562314,0.014660368,0.032593787,-0.20762534
1.9635416666666667,0.014538102,0.013668281,0.031019721,-0.20444454
1.9739583333333335,0.013516934,0.01273128,0.029622717,-0.20106715
1.9843750000000002,0.012562262,0.0118555585,0.028384537,-0.19757354
1.9947916666666667,0.011673932,0.011041876,0.02728755,-0.19403951
2.0052083333333335,0.010849668,0.010288433,0.026316196,-0.19053772
2.0156250000000004,0.010086244,0.009592097,0.025456203,-0.18712912
2.026041666666667,0.009379999,0.008948897,0.02469537,-0.18386303
2.036458333333334,0.008726974,0.008354643,0.024022693,-0.18077509
2.0468750000000004,0.008123496,0.007805123,0.02342865,-0.17788862
2.057291666666667,0.007565904,0.007297006,0.022904925,-0.17521869
2.067708333333334,0.0070508355,0.0068271817,0.022443905,-0.17276956
2.0781250000000004,0.0065752855,0.006392196,0.022039093,-0.17053695
2.088541666666667,0.006136537,0.005989696,0.021684706,-0.16851526
2.098958333333334,0.0057320567,0.0056176186,0.021375323,-0.16669361
2.1093750000000004,0.0053597298,0.005273416,0.021106357,-0.16505235
