level,sensors_per_wall_per_ring,sensors_per_ring,total_sensors,pair_count,joint_l2_mean,ux_l2_mean,uy_l2_mean,uz_l2_mean,ux_corr_mean,uy_corr_mean,uz_corr_mean,clean_delay_residual,stable_rank_proxy,selected_relative_ridge,solve_seconds,peak_cuda_memory_bytes,marginal_joint_error_reduction
L1,3,12,180,12150,3.9862652708095774,1.4084734534199772,2.4345825923510387,5.011111297335552,0.37615407083190655,0.27372980767744604,0.13514201809030277,0.05220717564225197,46.239051818847656,0.001,10.32897249981761,809042944,
L2,6,24,360,48600,0.5762868201142564,0.29673657740226944,0.38681996043736033,0.7040301352896615,0.9553598738731595,0.9294410585857119,0.7915778210936455,0.10697758197784424,107.16083526611328,0.003,25.751278984127566,3205255680,0.8554318940251516
L3,9,36,540,109350,0.3565221336957203,0.24209832512796764,0.2703625712673486,0.4166988638749519,0.9702432953465592,0.9636346344930948,0.917892606447359,0.1336667686700821,109.27974700927734,0.003,57.050819840980694,7188133376,0.3813460220640911
L4,12,48,720,194400,0.31713459730249893,0.2138719622275358,0.21097808229096246,0.3750906040331264,0.9768353930817208,0.97755633721001,0.9312998569374984,0.13653267920017242,124.80680084228516,0.003,97.61575812799856,12757678592,0.11047711395903764
