frequency_hz,global_iteration,band_iteration,physical_loss,normalized_loss,data_loss,curvature,regularization_fraction,max_velocity_update,projected,relative_improvement,closure_evaluations,line_search_evaluations,step_fraction,accepted,gradient_norm,gradient_max
20000.0,0,0,0.4446614980697632,88.9025721889746,0.4446614980697632,8.938214751674778e-11,2.0101166564590045e-10,0.05000000074505806,0.0,0.11089926293440182,1.0,1.0,1.0,1.0,0.3349039554595947,0.09848137944936752
20000.0,1,1,0.39330625534057617,78.63495694944343,0.39330625534057617,3.353460287236487e-10,8.526333528102725e-10,0.05000000074505806,0.0,0.11526032816673037,2.0,1.0,1.0,1.0,0.3145522475242615,0.09398895502090454
35000.0,2,0,0.3453562259674072,87.18447046049452,0.3453562259674072,5.693925886340878e-10,1.6487109455454174e-09,0.05000000447034836,0.0,0.12827688886234287,3.0,1.0,1.0,1.0,0.29899099469184875,0.08490550518035889
35000.0,3,1,0.2987673878669739,75.42321389771483,0.2987673878669739,9.376998066912279e-10,3.1385614107648507e-09,0.04999999701976776,0.0,0.13507308546452537,4.0,1.0,1.0,1.0,0.27881094813346863,0.08039239048957825
50000.0,4,0,0.2558506429195404,85.70106999020093,0.2558506429195404,1.5388720298048497e-09,6.014727826908484e-09,0.04999999701976776,0.0,0.14330581542400656,5.0,1.0,1.0,1.0,0.258401095867157,0.07500862330198288
50000.0,5,1,0.21544945240020752,72.16807583050422,0.21544945240020752,2.295981849087525e-09,1.0656707516432107e-08,0.050000011920928955,0.0,0.15778753220354622,6.0,1.0,1.0,1.0,0.23869992792606354,0.06751496344804764
65000.0,6,0,0.18834266066551208,86.02150874264821,0.18834266066551208,2.8524849149391684e-09,1.5145188214660266e-08,0.050000011920928955,0.0,0.13977051040459187,7.0,1.0,1.0,1.0,0.221724733710289,0.07075463235378265
65000.0,7,1,0.18107086420059204,82.70027020342638,0.18107086420059204,3.228626477280727e-09,1.7830734222457068e-08,0.050000011920928955,0.0,0.03839546082229072,8.0,1.0,1.0,1.0,0.26315855979919434,0.1077953428030014
