initialization,initial_profile_relative_l2,final_profile_relative_l2,profile_correlation,waveform_loss_reduction,accepted_iterations,passed
good_prior,0.04814207926392555,0.042453814297914505,0.999104380607605,0.22465229034423828,6,True
travel_time,0.234985813498497,0.09316658973693848,0.997771143913269,0.8212394118309021,8,True
blurred_travel_time,0.3554933965206146,0.13290956616401672,0.9988600015640259,0.8488489389419556,8,False
zero_flow,1.0,0.5814576745033264,0.9947178363800049,0.6379151344299316,8,False
