frequency_hz,global_iteration,band_iteration,physical_loss,normalized_loss,data_loss,curvature,regularization_fraction,max_velocity_update,projected,relative_improvement,closure_evaluations,line_search_evaluations,step_fraction,accepted,gradient_norm,gradient_max
20000.0,0,0,0.0030046598985791206,98.25761204505307,0.003004650119692087,9.746720763814665e-09,3.2438681500934763e-06,0.00625002384185791,0.0,0.016699454994220167,1.0,4.0,0.125,1.0,0.016945093870162964,0.006290543358772993
35000.0,1,0,0.0018504293402656913,97.48207827603103,0.001850419444963336,9.885120277886017e-09,5.342068561731139e-06,0.012499988079071045,0.0,0.030812118096158397,2.0,3.0,0.25,1.0,0.019197512418031693,0.010000135749578476
50000.0,2,0,0.002081077080219984,83.52224401557535,0.002081067068502307,9.94529347764228e-09,4.778916263603605e-06,0.012499988079071045,0.0,0.16379410351480933,3.0,3.0,0.25,1.0,0.050511520355939865,0.024046190083026886
65000.0,3,0,0.00242913537658751,97.32451854570931,0.002429125364869833,9.967708436420253e-09,4.10339771406143e-06,0.00625002384185791,0.0,0.028019855378566636,4.0,4.0,0.125,1.0,0.06537697464227676,0.026217475533485413
