sensors_per_ring,global_sensor_count,local_sensor_count,local_ray_count,joint_l2_mean_percent,joint_l2_median_percent,joint_l2_max_percent,ux_l2_mean_percent,uy_l2_mean_percent,uz_l2_mean_percent,ux_corr_mean,uy_corr_mean,uz_corr_mean,clean_joint_l2_mean_percent,clean_joint_l2_median_percent,clean_joint_l2_max_percent,all_gate_pass_count,slice_count,effective_rank_1e3,clean_selected_rank_median,elapsed_seconds
12,492,60,1350,71.31375124455116,67.12293898216556,97.36753651413265,81.20023222357848,81.47990449645141,71.95005480069791,0.6122689487180285,0.5892050851488335,0.7029764999775376,84.33266644590786,72.99809765765062,137.21925363950345,0,19,1223,1280.0,212.4739915607497
24,984,120,5400,51.43700177153859,39.202885906994254,129.89989078819465,77.22721584748938,73.27676948859627,46.56212258030234,0.7617739534169403,0.7792639979535029,0.8932509213347521,194.55923879907894,136.66709638138644,498.8035951882589,4,19,2346,5400.0,271.8941970211454
36,1476,180,12150,27.528038665551424,26.416398962157135,46.42965343218849,32.56866783909303,31.645591721567158,27.874496492118396,0.9349894223671321,0.9355913494174668,0.9604970367595653,24.94888443767509,23.48363972268575,48.898534019425085,11,19,2592,6075.0,429.87992295017466
48,1968,240,21600,26.438968245672108,25.855389653740268,37.67229094747597,28.76567478270301,28.195948312426506,27.17283890491848,0.951121835203067,0.9481200605846042,0.9621198450421848,22.734247175408107,20.869595576022665,36.92672189481956,12,19,2603,6075.0,478.1396681875922
