z_m,truth_rms_ux_m_s,truth_rms_uy_m_s,truth_rms_uz_m_s,joint_l2_percent,ux_l2_percent,uy_l2_percent,uz_l2_percent,ux_correlation,uy_correlation,uz_correlation
1.35,0.02164440076512029,0.02826988828115232,0.06339511449847625,26.392283460467773,40.22394443688482,34.39738803181738,22.188233022068754,0.9157420268865925,0.9367264948378977,0.9781820670285379
1.65,0.02936688051163734,0.0333504127548585,0.051881489066654976,19.895063256506916,18.01831175522117,16.82145113128773,21.56301465583896,0.9837740911089321,0.9854142343046899,0.9814953442287753
1.95,0.01562365847938438,0.014655830747669267,0.032394816346725724,24.540450838847114,15.82636339562889,17.051406339413532,27.336776958517845,0.9878435801421845,0.9864732798667205,0.9634469992256836
2.25,0.0026876766703394298,0.002785027695821429,0.019056487082978555,37.67229094747597,56.265302207447974,65.60337375979574,36.36667329245903,0.827487653301745,0.744562317423227,0.9330299804420477
2.55,0.002971478629878416,0.003562580625893367,0.018511690202967238,31.05667576345065,34.287353238095115,33.562691535216985,30.871177308486786,0.9422061932962091,0.9421723276679272,0.9522642810383148
2.85,0.0032874176193306882,0.004272246287456754,0.017248754253033374,27.725534229122662,23.032803379845703,18.401307097709367,28.348706961749322,0.9734225663746755,0.9833733222372881,0.9595910622678613
3.15,0.002724417324883911,0.0029624475754701906,0.014889311833962119,21.172112453844832,22.789467454069,22.246438492830155,21.07125870416668,0.9732558751833704,0.9747774567507814,0.9776232435448934
3.45,0.0021121491073793834,0.0019564048444600402,0.013205392450638767,22.614468528863956,36.488072161303435,33.85810444068247,21.827347620865716,0.9304034019097823,0.9403312551909659,0.9760118065070378
3.75,0.002497147738118254,0.002166926726510136,0.012573886765290792,25.855389653740268,41.46662789521734,47.66614223875323,24.030671647362833,0.9211564120848106,0.9022240466042023,0.9707930640774465
4.05,0.002894619029952245,0.0024361788916349566,0.012018089345021483,30.14409671354037,39.40500084230624,48.89117194503322,28.455542846111054,0.9236968476291706,0.8763534039087273,0.9618270110629936
4.35,0.0036783553052713233,0.004360198418851856,0.012786108923087798,29.566702085833768,34.93572760968853,27.761238439280344,29.283017923298623,0.9402770605062392,0.9600832853601988,0.9592634203319068
4.65,0.005477312558384239,0.00636935313962345,0.01569034694308574,33.020722317452986,33.76012576467431,26.249903607916437,33.913935964739665,0.9464649372837781,0.9642283677798049,0.9448336895676943
4.95,0.006051798835725769,0.006526102251565829,0.018879987477652686,37.32257300596871,43.539271281338074,39.737095133667175,36.305192620879644,0.9071773755490442,0.9265911748476138,0.9372930055447504
5.25,0.008956759401963258,0.00990463395423386,0.021082778348162017,36.56004555946748,29.959028168956518,30.328247519044655,38.79703984806815,0.957996870961897,0.9516217440536834,0.9244407638619897
5.55,0.020047237404463153,0.02365157147719133,0.03128265275899955,18.417738203160365,13.31809406377614,12.830061808984485,22.454935606412608,0.9911461497033319,0.991473999184584,0.9745459587854515
5.85,0.018253229559278647,0.027806503317986467,0.034797391733950134,15.385876649040608,14.200059277112137,9.796692066732348,18.310994623742598,0.989802637865193,0.9950663969586445,0.9831717380848052
6.15,0.008547034249605293,0.012742948093108802,0.01349841278090586,23.41598251162719,14.44599845930094,11.162185352000478,32.57352730429328,0.9900542264064642,0.9942962572860069,0.9456739616772555
6.45,0.003765422446157247,0.004345890922151778,0.011389763342265971,21.93305252645561,17.426130985640555,18.064708284273475,22.866453302285,0.9843693842817628,0.9833654143314323,0.9742306402843871
6.75,0.0028689233404208887,0.0021327120042458395,0.012505981165298571,19.64933796290283,17.16013849485024,21.29341071166446,19.719438982104474,0.9850375783830909,0.9751463725130849,0.9825590182396822
