ring_count,ring_spacing_m,global_sensor_count,local_ray_count,joint_l2_mean_percent,joint_l2_median_percent,joint_l2_max_percent,clean_joint_l2_mean_percent,clean_joint_l2_median_percent,clean_joint_l2_max_percent,ux_l2_mean_percent,uy_l2_mean_percent,uz_l2_mean_percent,ux_corr_mean,uy_corr_mean,uz_corr_mean,all_gate_pass_count,common_target_count,effective_rank_1e3,elapsed_seconds
15,0.42857142857142855,540,12150,28.0141727491091,26.612377384755277,47.23225831898831,33.345722650016135,34.703784752098585,45.389138470460985,40.84404360700732,35.93032874191473,27.466895959979798,0.9000579690958206,0.9195280727067107,0.9600374837109957,9,14,2933,409.1039578872733
20,0.3157894736842105,720,12150,24.814710099676724,23.67591923749804,36.433975360102586,26.70197051795021,27.029796295508206,36.87013339150261,31.869384214180542,29.267199197003357,24.653116852385693,0.9497803360433633,0.9490137060277962,0.9682887832176142,10,14,2868,463.3797966768034
25,0.25,900,12150,24.467128347728174,24.031884806428256,35.10262838728293,25.278395065740757,23.35170421230765,39.03283184197927,28.389919079142228,27.49898849617286,24.808187429983548,0.9556653130459554,0.9549424788133455,0.967834855296003,10,14,2799,504.9881953988224
41,0.15,1476,12150,28.72873894223425,27.866096773402315,41.244243529503564,26.3046927595417,24.662434784897155,43.76197086696862,35.55822010845238,34.40240280735924,28.932242351054345,0.9244698582907188,0.9242194991876714,0.9566981252685475,7,14,2592,429.87992295017466
